,,,,,,,MOBILECARE - APP BONIFACIO HIGH STREET,MOBILECARE - APP GREENBELT 3,MOBILECARE - APP POWER PLANT MALL,MOBILECARE - GLORIETTA 5,MOBILECARE - S'MAISON,MOBILECARE - APP MALL OF ASIA,MOBILECARE - THE PODIUM,MOBILECARE - APP MEGAMALL,MOBILECARE - APP THE ANNEX,MOBILECARE - APP TRINOMA,MOBILECARE - VERTIS NORTH,MOBILECARE - NORTHEAST SQUARE,MOBILECARE - APP FESTIVAL MALL,MOBILECARE - SM MARIKINA,MOBILECARE - APP MAGNOLIA,MOBILECARE - LIMA ESTATE,MOBILECARE - NEWPOINT MALL,MOBILECARE - NAGA,MOBILECARE - LA UNION,MOBILECARE - FESTIVE WALK ILOILO,MOBILECARE - CEBU,MOBILECARE - ZAMBOANGA,MOBILECARE - DAVAO,MOBILECARE SERVICES,MOBILECARE - CAGAYAN DE ORO,MOBILECARE - APP SM LANANG,,,,,,,,,,,,,
,Commodity,Forecasted Qty,Stocking Price,Exchange Price,P/N,Part Description,APP BHS,APP GB3,APP PPM,ASP GL5,ASP SMS,APP MOA,ASP POD,APP MEG,APP ANX,APP TRI,ASP VN,ASP NES,APP FES,ASP MRK,APP RM,ASP LIM,ASP NPM,ASP NAG,ASP LAU,ASP ILO,ASP CEB,ASP ZAM,ASP ABR,ASP COT,ASP CDO,APP LAN,,Total Parts,Total Stock Price per Parts,W1 Parts Alloc,W1 Total,W2 Parts Alloc.,W2 Total,W3 Parts Alloc,W3 Total,W4 Parts Alloc,W4 Total,Remarks,Addt'l Remarks
MOBILECARE - APP MAGNOLIA,,9,329.00,313.00,661-56065,"Display, iPhone 17",1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,,7,"$2,303.00",1,$329.00,2,$658.00,2,$658.00,2,$658.00,ORDER REQUIRED,
MOBILECARE - NORTHEAST SQUARE,,14,329.00,313.00,661-56125,"Display, iPhone 17 Pro",1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0,1,0,,11,"$3,619.00",3,$987.00,3,$987.00,3,$987.00,2,$658.00,ORDER REQUIRED,
MOBILECARE - APP MEGAMALL,,34,379.00,360.00,661-56050,"Display, iPhone 17 Pro Max",0,1,1,2,2,1,3,1,2,1,3,0,3,1,1,2,4,1,1,0,1,0,2,0,1,0,,34,"$12,886.00",8,"$3,032.00",8,"$3,032.00",9,"$3,411.00",9,"$3,411.00",ORDER REQUIRED,
MOBILECARE - APP BONIFACIO HIGH STREET,,0,229.00,218.00,661-60211,"Display, iPhone 17e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
MOBILECARE - ZAMBOANGA,,2,329.00,313.00,661-55240,"Display, iPhone Air",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,3,$987.00,0,$0.00,1,$329.00,1,$329.00,1,$329.00,ORDER REQUIRED,
,,132,,,,,2,3,2,6,7,2,8,1,4,3,12,1,8,7,4,14,13,3,4,2,5,1,7,0,3,0,,122,"$41,238.00",30,"$9,870.00",32,"$10,778.00",31,"$10,599.00",29,"$9,991.00",,
,BATTERY,175,89.00,46.00,661-21991,"Battery, iPhone 13",1,2,2,11,23,6,8,4,7,9,22,4,15,11,4,15,15,2,3,5,3,1,2,0,0,0,,175,"$15,575.00",43,"$3,827.00",44,"$3,916.00",44,"$3,916.00",44,"$3,916.00",ORDER REQUIRED,
,,22,89.00,46.00,661-21996,"Battery, iPhone 13 Pro",1,0,0,3,2,0,3,1,0,1,2,2,2,1,0,1,2,0,1,0,1,0,1,0,0,0,,24,"$2,136.00",6,$534.00,6,$534.00,6,$534.00,6,$534.00,ORDER REQUIRED,
,,24,89.00,46.00,661-22294,"Battery, iPhone 13 Pro Max",0,0,0,1,2,1,2,1,1,1,4,1,1,1,1,2,2,0,0,0,1,0,1,0,0,0,,23,"$2,047.00",5,$445.00,6,$534.00,6,$534.00,6,$534.00,ORDER REQUIRED,
,,7,99.00,51.00,661-30373,"Battery, iPhone 14",0,0,0,1,0,0,0,1,1,1,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,10,$990.00,3,$297.00,3,$297.00,2,$198.00,2,$198.00,ORDER REQUIRED,
,,1,99.00,51.00,661-30394,"Battery, iPhone 14 Plus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
,,18,99.00,51.00,661-30382,"Battery, iPhone 14 Pro",0,0,1,3,1,1,2,0,1,1,3,1,2,1,0,1,1,0,0,0,1,0,1,0,0,0,,21,"$2,079.00",6,$594.00,5,$495.00,5,$495.00,5,$495.00,ORDER REQUIRED,
"Battery, iPhone 13 Pro",,31,99.00,51.00,661-30397,"Battery, iPhone 14 Pro Max",0,1,0,3,3,1,5,2,0,1,3,0,2,2,2,1,2,1,0,0,1,0,0,0,0,0,,30,"$2,970.00",7,$693.00,7,$693.00,8,$792.00,8,$792.00,ORDER REQUIRED,
,,9,99.00,51.00,661-35885,"Battery, iPhone 15",0,0,0,1,1,0,2,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,,11,"$1,089.00",3,$297.00,3,$297.00,3,$297.00,2,$198.00,ORDER REQUIRED,
,,2,99.00,51.00,661-37207,"Battery, iPhone 15 Plus",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,$198.00,0,$0.00,0,$0.00,1,$99.00,1,$99.00,ORDER REQUIRED,
,,19,99.00,51.00,661-35694,"Battery, iPhone 15 Pro",1,1,0,3,2,0,0,1,1,1,2,2,1,0,1,1,1,1,0,0,0,0,1,0,0,0,,20,"$1,980.00",5,$495.00,5,$495.00,5,$495.00,5,$495.00,ORDER REQUIRED,
,,14,99.00,51.00,661-36918,"Battery, iPhone 15 Pro Max",0,1,1,1,1,0,1,1,0,0,3,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,,14,"$1,386.00",3,$297.00,3,$297.00,4,$396.00,4,$396.00,ORDER REQUIRED,
,,1,99.00,51.00,661-44796,"Battery, iPhone 16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
,,0,119.00,62.00,661-42720,"Battery, iPhone 16 Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
,,2,119.00,62.00,661-44954,"Battery, iPhone 16 Pro Max",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,$119.00,1,$119.00,0,$0.00,0,$0.00,0,$0.00,ORDER REQUIRED,
,,5,99.00,51.00,661-56064,"Battery, iPhone 17",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,,5,$495.00,1,$99.00,1,$99.00,1,$99.00,2,$198.00,ORDER REQUIRED,
,,1,119.00,62.00,661-55235,"Battery, iPhone Air",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,$119.00,1,$119.00,0,$0.00,0,$0.00,0,$0.00,ORDER REQUIRED,
,,0,119.00,62.00,661-56121,"Battery, pSIM, iPhone 17 Pro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,NO NEED TO ORDER,
,,1,119.00,62.00,661-56049,"Battery, pSIM, iPhone 17 Pro Max",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2,$238.00,1,$119.00,1,$119.00,0,$0.00,0,$0.00,ORDER REQUIRED,
,,332,,,,,3,5,5,27,37,9,23,11,12,17,44,12,25,18,12,24,23,4,5,7,9,1,6,0,0,0,,339,"$31,421.00",85,"$7,935.00",84,"$7,776.00",85,"$7,855.00",85,"$7,855.00",,
,,,,,,Total Parts per Site:,5,8,7,33,44,11,31,12,16,20,56,13,33,25,16,38,36,7,9,9,14,2,13,0,3,0,,461,,115,,116,,116,,114,,,
,,,,,Total Cost Breakdown per Site:,,$935.00,"$1,512.00","$1,183.00","$4,697.00","$5,816.00","$1,529.00","$4,879.00","$1,408.00","$2,524.00","$2,660.00","$8,094.00","$1,417.00","$5,077.00","$4,055.00","$2,474.00","$6,652.00","$6,514.00","$1,363.00","$1,821.00","$1,201.00","$2,436.00",$368.00,"$3,057.00",$0.00,$987.00,$0.00,,,"$72,659.00",,"$17,805.00",,"$18,554.00",,"$18,454.00",,"$17,846.00",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BHS SHARE,GB3 SHARE,PPM SHARE,GL5 SHARE,SMS SHARE,MOA SHARE,POD SHARE,MEG SHARE,ANX SHARE,TRI SHARE,VN SHARE,NES SHARE,FES SHARE,MRK SHARE,RM SHARE,LIM SHARE,NPM SHARE,NAG SHARE,LAU SHARE,ILO SHARE,CEB SHARE,ZAM SHARE,ABR SHARE,COT SHARE,CDO SHARE,COT SHARE,,,,,,,,,,,,,
,,,,DISPLAY,661-21988,"Display, iPhone 13",0.81%,0.00%,0.40%,0.81%,3.23%,2.02%,1.61%,0.00%,0.81%,2.82%,10.08%,2.82%,9.27%,4.44%,0.81%,10.08%,11.29%,9.68%,2.02%,12.10%,6.85%,0.40%,4.44%,0.00%,3.23%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-21993,"Display, iPhone 13 Pro",1.33%,2.67%,1.33%,6.67%,8.00%,5.33%,16.00%,0.00%,2.67%,1.33%,6.67%,1.33%,2.67%,9.33%,4.00%,5.33%,6.67%,0.00%,6.67%,1.33%,5.33%,1.33%,2.67%,0.00%,1.33%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-22309,"Display, iPhone 13 Pro Max",0.98%,1.63%,1.31%,5.88%,10.46%,2.29%,10.78%,1.31%,3.92%,3.59%,6.86%,3.92%,6.86%,8.50%,4.25%,7.84%,5.56%,1.31%,0.98%,1.63%,3.27%,2.29%,3.27%,0.00%,1.31%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30366,"Display, iPhone 14",1.28%,1.28%,1.28%,2.56%,3.85%,5.13%,5.13%,3.85%,1.28%,1.28%,6.41%,3.85%,7.69%,7.69%,1.28%,7.69%,11.54%,8.97%,0.00%,8.97%,5.13%,2.56%,1.28%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30390,"Display, iPhone 14 Plus",0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-29370,"Display, iPhone 14 Pro",0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30401,"Display, iPhone 14 Pro Max",0.00%,2.44%,4.88%,7.32%,21.95%,2.44%,7.32%,2.44%,2.44%,0.00%,7.32%,2.44%,7.32%,9.76%,0.00%,7.32%,2.44%,2.44%,4.88%,0.00%,2.44%,2.44%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-36706,"Display, iPhone 15",0.00%,4.35%,0.00%,4.35%,8.70%,1.45%,1.45%,0.00%,1.45%,0.00%,17.39%,1.45%,5.80%,4.35%,4.35%,13.04%,7.25%,2.90%,2.90%,2.90%,4.35%,2.90%,4.35%,0.00%,4.35%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-37213,"Display, iPhone 15 Plus",0.00%,0.00%,0.00%,10.00%,10.00%,0.00%,0.00%,0.00%,10.00%,10.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-35699,"Display, iPhone 15 Pro",6.25%,6.25%,0.00%,6.25%,6.25%,0.00%,0.00%,0.00%,0.00%,6.25%,18.75%,0.00%,6.25%,6.25%,6.25%,12.50%,6.25%,0.00%,6.25%,0.00%,0.00%,6.25%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-36915,"Display, iPhone 15 Pro Max",0.00%,0.00%,6.52%,6.52%,8.70%,4.35%,4.35%,0.00%,2.17%,4.35%,8.70%,2.17%,8.70%,8.70%,8.70%,4.35%,6.52%,2.17%,0.00%,4.35%,0.00%,2.17%,4.35%,0.00%,2.17%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-44797,"Display, iPhone 16",0.00%,0.00%,0.00%,0.00%,12.24%,2.04%,4.08%,0.00%,6.12%,0.00%,10.20%,2.04%,4.08%,4.08%,2.04%,10.20%,22.45%,0.00%,6.12%,6.12%,4.08%,0.00%,4.08%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-42843,"Display, iPhone 16 Plus",0.00%,0.00%,0.00%,0.00%,10.71%,3.57%,10.71%,0.00%,3.57%,0.00%,0.00%,3.57%,10.71%,0.00%,3.57%,10.71%,17.86%,0.00%,0.00%,0.00%,3.57%,3.57%,3.57%,0.00%,14.29%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-42726,"Display, iPhone 16 Pro",2.25%,3.37%,1.12%,7.30%,5.62%,2.25%,5.62%,3.37%,1.12%,3.37%,10.67%,3.37%,6.18%,2.81%,4.49%,5.06%,8.43%,1.69%,2.25%,2.81%,5.62%,0.56%,7.30%,0.00%,2.81%,0.56%,,1.00,,,,,,,,,,,
,,,,,661-44955,"Display, iPhone 16 Pro Max",1.65%,1.65%,1.10%,3.85%,9.34%,3.85%,5.49%,2.20%,1.65%,4.95%,5.49%,4.40%,8.24%,6.04%,4.95%,3.85%,12.09%,0.55%,0.55%,2.75%,3.85%,1.10%,4.95%,0.00%,5.49%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-49431,"Display, iPhone 16e",0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.11%,0.00%,11.11%,33.33%,11.11%,22.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-56065,"Display, iPhone 17",2.38%,7.14%,0.00%,2.38%,7.14%,2.38%,4.76%,2.38%,0.00%,2.38%,14.29%,2.38%,2.38%,9.52%,2.38%,14.29%,11.90%,0.00%,0.00%,0.00%,2.38%,0.00%,4.76%,0.00%,4.76%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-56125,"Display, iPhone 17 Pro",2.50%,6.25%,3.75%,3.75%,3.75%,2.50%,6.25%,2.50%,2.50%,2.50%,5.00%,2.50%,10.00%,3.75%,1.25%,6.25%,11.25%,0.00%,1.25%,3.75%,1.25%,2.50%,7.50%,1.25%,6.25%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-56050,"Display, iPhone 17 Pro Max",2.28%,2.28%,2.28%,5.02%,5.48%,1.37%,7.76%,1.83%,5.94%,3.65%,11.42%,0.46%,7.76%,4.57%,2.74%,5.94%,10.05%,0.91%,2.28%,2.28%,4.57%,0.91%,6.85%,0.00%,0.91%,0.46%,,1.00,,,,,,,,,,,
,,,,,661-60211,"Display, iPhone 17e",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-55240,"Display, iPhone Air",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.57%,14.29%,0.00%,0.00%,0.00%,0.00%,28.57%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTERY,661-17920,"Battery, iPhone 12 and 12 Pro",0.42%,1.25%,1.25%,6.35%,12.80%,3.75%,4.68%,2.29%,3.75%,5.10%,12.59%,2.50%,8.43%,6.04%,2.39%,8.53%,8.95%,0.94%,1.98%,2.81%,1.77%,0.21%,1.04%,0.00%,0.21%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-21991,"Battery, iPhone 13",2.70%,1.62%,0.54%,12.43%,9.73%,2.16%,11.89%,2.70%,2.16%,3.24%,9.73%,4.86%,5.41%,3.24%,1.62%,4.32%,9.73%,0.54%,2.16%,0.00%,4.32%,1.08%,2.70%,0.00%,1.08%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-21996,"Battery, iPhone 13 Pro",0.84%,2.95%,1.27%,7.59%,8.44%,4.64%,6.75%,2.53%,2.95%,3.38%,14.35%,4.64%,7.17%,5.06%,5.49%,5.91%,8.86%,1.27%,0.42%,0.42%,4.22%,0.00%,0.84%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-22294,"Battery, iPhone 13 Pro Max",1.96%,1.96%,0.00%,11.76%,5.88%,1.96%,0.00%,3.92%,3.92%,5.88%,23.53%,0.00%,7.84%,9.80%,5.88%,1.96%,5.88%,0.00%,1.96%,1.96%,0.00%,1.96%,1.96%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30373,"Battery, iPhone 14",3.85%,11.54%,7.69%,3.85%,7.69%,0.00%,7.69%,0.00%,0.00%,3.85%,11.54%,0.00%,11.54%,0.00%,0.00%,23.08%,0.00%,0.00%,3.85%,0.00%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30394,"Battery, iPhone 14 Plus",0.00%,1.18%,2.35%,15.88%,5.29%,0.59%,8.24%,1.76%,5.88%,4.12%,15.88%,7.06%,6.47%,4.71%,1.76%,5.88%,7.65%,0.00%,1.18%,0.59%,1.18%,0.00%,1.18%,0.59%,0.59%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30382,"Battery, iPhone 14 Pro",0.48%,3.37%,1.92%,9.13%,9.13%,2.88%,13.46%,6.73%,1.44%,4.81%,10.10%,1.44%,6.73%,6.25%,5.29%,4.33%,5.29%,1.92%,0.48%,0.00%,2.40%,0.48%,1.92%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-30397,"Battery, iPhone 14 Pro Max",0.00%,2.56%,0.00%,10.26%,7.69%,2.56%,17.95%,0.00%,5.13%,10.26%,7.69%,0.00%,5.13%,5.13%,7.69%,7.69%,2.56%,0.00%,0.00%,2.56%,5.13%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-35885,"Battery, iPhone 15",0.00%,11.11%,0.00%,11.11%,11.11%,0.00%,0.00%,0.00%,0.00%,11.11%,33.33%,0.00%,11.11%,0.00%,0.00%,0.00%,11.11%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-37207,"Battery, iPhone 15 Plus",3.57%,5.36%,1.79%,18.75%,8.93%,0.00%,3.57%,1.79%,4.46%,4.46%,11.61%,7.14%,5.36%,2.68%,3.57%,6.25%,3.57%,1.79%,0.89%,2.68%,0.89%,0.00%,0.89%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-35694,"Battery, iPhone 15 Pro",3.70%,4.63%,2.78%,8.33%,6.48%,0.93%,8.33%,1.85%,1.85%,1.85%,23.15%,5.56%,9.26%,3.70%,4.63%,2.78%,3.70%,0.00%,4.63%,0.93%,0.00%,0.00%,0.93%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
,,,,,661-36918,"Battery, iPhone 15 Pro Max",0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,16.67%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,1.00,,,,,,,,,,,
